epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,620.313,3.64777,5.54557,0.05026,1.08952,37.838,0.12555,0.00094,0.00018,4e-05,3.20545,4.96033,0.04298,0,0,37.8378,0,37.8378,0,0.197119,0.18889,3,3,0,1,0.00333153,0.00333153,0.0700162,0.00166577,0.00666306
2,1323.52,2.62422,4.27022,0.02554,0.99885,17.5912,0.59559,0.0139,0.00912,0.00395,2.517,4.05774,0.02772,0,0,17.5912,0,17.5912,0,0.0916625,0.13288,3,3,0,1,0.0065329,0.0065329,0.0398843,0.00326645,0.0130658
3,1928.84,2.35693,3.62724,0.02096,0.99808,15.565,0.32406,0.06473,0.03808,0.0181,2.34048,3.41556,0.02496,0,0,15.565,0,15.565,0,0.0811192,0.13815,3,3,0,1,0.00960227,0.00960227,0.0096203,0.00480113,0.0192045
4,2560.48,2.26144,3.22078,0.01924,0.9963,14.4882,0.25686,0.10982,0.07662,0.04093,2.25567,2.97772,0.02268,0,0,14.4882,0,14.4882,0,0.0754898,0.141639,3,3,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
5,3191,2.19426,2.99339,0.01822,0.99692,13.8423,0.29728,0.13976,0.1068,0.06011,2.17805,2.78713,0.02148,0,0,13.8423,0,13.8423,0,0.0721247,0.143486,3,3,0,1,0.009208,0.009208,0.009208,0.004604,0.018416
6,3824.5,2.15865,2.87039,0.01765,0.99758,13.471,0.30844,0.159,0.12673,0.07325,2.14466,2.66663,0.02078,0,0,13.471,0,13.471,0,0.0701919,0.144416,3,3,0,1,0.00901,0.00901,0.00901,0.004505,0.01802
7,4456.46,2.13054,2.79462,0.01725,0.99815,13.2345,0.32588,0.17361,0.14187,0.08305,2.11262,2.59238,0.02021,0,0,13.2345,0,13.2345,0,0.0689602,0.144864,3,3,0,1,0.008812,0.008812,0.008812,0.004406,0.017624
8,5089.68,2.11576,2.73922,0.01695,0.99858,13.0608,0.32983,0.17908,0.15039,0.08914,2.08844,2.54448,0.01973,0,0,13.0608,0,13.0608,0,0.0680548,0.145095,3,3,0,1,0.008614,0.008614,0.008614,0.004307,0.017228
9,5721.61,2.09853,2.6961,0.0167,0.99893,12.923,0.32824,0.18552,0.15698,0.09341,2.07506,2.50954,0.01948,0,0,12.923,0,12.923,0,0.0673343,0.145158,3,3,0,1,0.008416,0.008416,0.008416,0.004208,0.016832
10,6353.61,2.08495,2.65907,0.01649,0.99916,12.8021,0.34365,0.19065,0.16239,0.09701,2.06684,2.48457,0.01933,0,0,12.8021,0,12.8021,0,0.0667062,0.145178,3,3,0,1,0.008218,0.008218,0.008218,0.004109,0.016436
