epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,569.643,3.63423,5.53811,0.04986,1.08991,0.75091,0.00078,0.00027,7e-05,3.01877,4.93453,0.03917,0,0.00333153,0.00333153,0.0700162,0.00166577,0.00666306
2,1102.84,2.55083,4.1988,0.02419,0.99809,0.5672,0.01799,0.01241,0.00544,2.46752,3.97318,0.02656,0,0.0065329,0.0065329,0.0398843,0.00326645,0.0130658
3,1635.29,2.3207,3.56299,0.02029,0.99828,0.31575,0.07227,0.04433,0.02235,2.32342,3.3452,0.0241,0,0.00960227,0.00960227,0.0096203,0.00480113,0.0192045
4,2200.61,2.23854,3.18013,0.01885,0.99637,0.28775,0.11786,0.08207,0.04521,2.21348,2.9483,0.02202,0,0.009406,0.009406,0.009406,0.004703,0.018812
5,2765.16,2.17282,2.96471,0.01787,0.99696,0.2964,0.14634,0.1123,0.06426,2.15407,2.74745,0.02097,0,0.009208,0.009208,0.009208,0.004604,0.018416
6,3330.75,2.13961,2.8477,0.01734,0.99759,0.31866,0.1653,0.13336,0.07738,2.12511,2.63581,0.02031,0,0.00901,0.00901,0.00901,0.004505,0.01802
7,3898.01,2.11426,2.77776,0.01698,0.99814,0.31886,0.17682,0.14793,0.08731,2.08612,2.56337,0.01975,0,0.008812,0.008812,0.008812,0.004406,0.017624
8,4463.69,2.09455,2.72356,0.01667,0.99858,0.32454,0.18419,0.15777,0.09383,2.06664,2.51264,0.01942,0,0.008614,0.008614,0.008614,0.004307,0.017228
9,5024.41,2.0801,2.68378,0.01646,0.99892,0.35011,0.19193,0.16491,0.09869,2.05419,2.48006,0.01921,0,0.008416,0.008416,0.008416,0.004208,0.016832
10,5589.09,2.0672,2.64927,0.01628,0.99916,0.36361,0.19448,0.17082,0.10255,2.04212,2.45945,0.01901,0,0.008218,0.008218,0.008218,0.004109,0.016436
11,6154.54,2.05726,2.62073,0.01612,0.99937,0.35797,0.19786,0.17421,0.10486,2.0337,2.44432,0.01885,0,0.00802,0.00802,0.00802,0.00401,0.01604
12,6720.31,2.04691,2.59273,0.016,0.99948,0.35795,0.20141,0.17758,0.10706,2.02795,2.43017,0.01873,0,0.007822,0.007822,0.007822,0.003911,0.015644
13,7284.8,2.04183,2.5739,0.0159,0.9996,0.35681,0.20467,0.18053,0.10923,2.0237,2.41646,0.01862,0,0.007624,0.007624,0.007624,0.003812,0.015248
14,7850.37,2.03362,2.55303,0.0158,0.99967,0.37669,0.2077,0.18362,0.11153,2.01869,2.40331,0.01853,0,0.007426,0.007426,0.007426,0.003713,0.014852
15,8418.56,2.02784,2.5328,0.01568,0.99975,0.36227,0.20765,0.18678,0.1138,2.01216,2.39112,0.01841,0,0.007228,0.007228,0.007228,0.003614,0.014456
16,8986.68,2.01998,2.52019,0.01562,0.99977,0.39885,0.21025,0.19017,0.11627,2.00833,2.37831,0.01833,0,0.00703,0.00703,0.00703,0.003515,0.01406
17,9545.64,2.01269,2.5016,0.01555,0.99984,0.38707,0.21409,0.19333,0.11836,2.00424,2.36571,0.01827,0,0.006832,0.006832,0.006832,0.003416,0.013664
18,10098.4,2.01082,2.48858,0.01545,0.99987,0.39136,0.21608,0.19626,0.12031,1.99927,2.3529,0.01821,0,0.006634,0.006634,0.006634,0.003317,0.013268
19,10657.2,2.00406,2.47347,0.01539,0.99989,0.38855,0.21813,0.19954,0.12259,1.99437,2.34096,0.01812,0,0.006436,0.006436,0.006436,0.003218,0.012872
20,11216.4,1.99975,2.45946,0.0153,0.99989,0.39269,0.21924,0.20349,0.12511,1.98871,2.32984,0.01804,0,0.006238,0.006238,0.006238,0.003119,0.012476
21,11776.5,1.99439,2.44424,0.01522,0.99992,0.39837,0.22224,0.20727,0.12764,1.98346,2.31852,0.01796,0,0.00604,0.00604,0.00604,0.00302,0.01208
22,12330.2,1.98909,2.43682,0.01517,0.99994,0.40143,0.22606,0.21076,0.12997,1.97789,2.30624,0.01787,0,0.005842,0.005842,0.005842,0.002921,0.011684
23,12905.4,1.97999,2.42129,0.01508,0.99992,0.40214,0.22948,0.21447,0.13248,1.97303,2.29441,0.01778,0,0.005644,0.005644,0.005644,0.002822,0.011288
24,13471.1,1.97487,2.41114,0.01502,0.99995,0.40589,0.23072,0.21768,0.13469,1.96969,2.28153,0.01771,0,0.005446,0.005446,0.005446,0.002723,0.010892
25,14039.5,1.97274,2.40286,0.01498,0.99996,0.42609,0.23241,0.22035,0.13674,1.96549,2.2707,0.01764,0,0.005248,0.005248,0.005248,0.002624,0.010496
26,14608.2,1.96754,2.39038,0.0149,0.99997,0.42854,0.23471,0.22373,0.1388,1.96104,2.2585,0.01757,0,0.00505,0.00505,0.00505,0.002525,0.0101
27,15175.4,1.96287,2.37648,0.01482,0.99997,0.42504,0.23812,0.22699,0.14125,1.95589,2.24843,0.01747,0,0.004852,0.004852,0.004852,0.002426,0.009704
28,15741.9,1.95926,2.36642,0.01476,0.99999,0.42608,0.24218,0.23047,0.14357,1.95186,2.23661,0.01739,0,0.004654,0.004654,0.004654,0.002327,0.009308
29,16311.5,1.9579,2.35732,0.01471,0.99998,0.4305,0.24617,0.23409,0.14627,1.94708,2.22558,0.01732,0,0.004456,0.004456,0.004456,0.002228,0.008912
30,16879.8,1.94984,2.34587,0.01463,1,0.43589,0.24641,0.23789,0.14905,1.94218,2.21555,0.01724,0,0.004258,0.004258,0.004258,0.002129,0.008516
31,17445.2,1.94793,2.33643,0.01457,0.99996,0.43948,0.24818,0.24093,0.15113,1.93995,2.20392,0.01719,0,0.00406,0.00406,0.00406,0.00203,0.00812
32,18010.3,1.94345,2.32817,0.01449,1,0.43919,0.24976,0.24336,0.15314,1.93444,2.19526,0.01708,0,0.003862,0.003862,0.003862,0.001931,0.007724
33,18576.4,1.93741,2.31614,0.01446,0.99998,0.44526,0.251,0.24641,0.15521,1.93043,2.1862,0.01701,0,0.003664,0.003664,0.003664,0.001832,0.007328
34,19139.5,1.93437,2.30347,0.01434,1,0.44013,0.2553,0.24959,0.15761,1.92513,2.17793,0.01691,0,0.003466,0.003466,0.003466,0.001733,0.006932
35,19690.9,1.92928,2.29789,0.01432,0.99998,0.43648,0.25816,0.25188,0.15909,1.92094,2.16839,0.01684,0,0.003268,0.003268,0.003268,0.001634,0.006536
36,20247.6,1.92344,2.28352,0.01422,0.99998,0.44119,0.25896,0.25501,0.16131,1.91795,2.15855,0.01676,0,0.00307,0.00307,0.00307,0.001535,0.00614
37,20806,1.91436,2.27177,0.01416,1.00003,0.44121,0.26,0.25782,0.16338,1.91463,2.14924,0.01669,0,0.002872,0.002872,0.002872,0.001436,0.005744
38,21374.1,1.91281,2.25953,0.01409,0.99998,0.44677,0.26213,0.2595,0.1648,1.91178,2.14179,0.01662,0,0.002674,0.002674,0.002674,0.001337,0.005348
39,21926.5,1.90919,2.24979,0.01405,0.99998,0.44997,0.26468,0.26243,0.16669,1.90887,2.13134,0.01657,0,0.002476,0.002476,0.002476,0.001238,0.004952
40,22483.7,1.9034,2.23765,0.01394,0.99999,0.45445,0.26647,0.26521,0.16867,1.90609,2.12216,0.01653,0,0.002278,0.002278,0.002278,0.001139,0.004556
41,23038.3,1.9615,2.16922,0.01659,1.00006,0.46385,0.26891,0.2687,0.17135,1.90085,2.11504,0.01642,0,0.00208,0.00208,0.00208,0.00104,0.00416
42,23586.4,1.95279,2.14025,0.01634,1.00001,0.45895,0.27236,0.27161,0.17341,1.89661,2.10505,0.01635,0,0.001882,0.001882,0.001882,0.000941,0.003764
43,24133.4,1.94388,2.11273,0.01621,1.00005,0.46119,0.27355,0.27489,0.17592,1.89337,2.09474,0.01627,0,0.001684,0.001684,0.001684,0.000842,0.003368
44,24680,1.93112,2.09285,0.01603,1,0.46628,0.27593,0.27832,0.17836,1.88896,2.08377,0.01619,0,0.001486,0.001486,0.001486,0.000743,0.002972
