epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,178.367,3.44884,4.97519,0.0685,1.61868,54.3307,0.00064,0.01916,1e-05,0,4.46623,2638.08,0.22605,0,0,54.3307,0,54.3307,0,0.254284,0.292203,3.34277,3.34277,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,361.313,3.30957,4.83478,0.06393,1.02324,34.7985,0.00157,0.05674,0.00022,4e-05,3.16006,5.14148,0.07525,0,0,34.7985,0,34.7985,0,0.162835,0.195593,3.34277,3.34277,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,543.966,2.54357,4.27612,0.04275,0.99649,23.3859,0.00891,0.0312,0.00549,0.00163,2.37977,5.43948,0.04988,0,0,23.3859,0,23.3859,0,0.10947,0.169568,3.34277,3.34277,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,727.594,2.15005,3.85604,0.0328,0.99459,20.7691,0.17438,0.01653,0.00726,0.00229,2.50325,4.44942,0.05217,0,0,20.7691,0,20.7691,0,0.097225,0.174577,3.34277,3.34277,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,912.756,1.99424,3.58032,0.02959,0.99563,19.4682,0.21923,0.08368,0.03272,0.01399,2.02459,4.46453,0.03856,0,0,19.4682,0,19.4682,0,0.0911356,0.176776,3.34277,3.34277,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1096.68,1.92533,3.3981,0.02821,0.99473,18.6546,0.22789,0.12597,0.06909,0.03052,2.0521,3.38422,0.03901,0,0,18.6546,0,18.6546,0,0.0873233,0.177228,3.34277,3.34277,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1282.68,1.87948,3.25285,0.02745,0.99582,18.247,0.2167,0.13444,0.08439,0.03906,1.93381,3.20346,0.03589,0,0,18.247,0,18.247,0,0.0854156,0.179845,3.34277,3.34277,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1466.62,1.84149,3.11466,0.02644,0.9941,17.6132,0.15555,0.16271,0.09488,0.0468,1.94958,3.18937,0.03658,0,0,17.6132,0,17.6132,0,0.0824559,0.179645,3.34277,3.34277,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1652.43,1.81456,3.02363,0.026,0.99439,17.3296,0.22917,0.19362,0.11925,0.05895,1.86674,3.01954,0.03443,0,0,17.3296,0,17.3296,0,0.081132,0.181445,3.34277,3.34277,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,1836.27,1.7831,2.95171,0.02535,0.99573,17.0192,0.22341,0.21281,0.14514,0.07224,1.87806,2.9371,0.03435,0,0,17.0192,0,17.0192,0,0.0796682,0.182387,3.34277,3.34277,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
