epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,180.403,3.41877,5.16153,0.06728,1.61893,50.888,0.00106,0.01313,2e-05,1e-05,3.36001,147.746,0.07948,0,0,50.8879,0,50.8879,0,0.265286,0.271804,3.00161,3.00161,0,1,60.3981,47.9618,44.3039,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,366.226,3.31608,4.89107,0.0641,1.0242,34.4233,0.00077,0.05117,9e-05,2e-05,3.50197,9.94041,0.1016,0,0,34.4233,0,34.4233,0,0.179373,0.191875,3.00161,3.00161,0,1,37.6557,34.715,30.8993,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,553.146,2.66328,4.35625,0.04649,0.99426,21.7029,0.00256,0.20921,0.00175,0.00042,2.67089,5.55622,0.05929,0,0,21.7029,0,21.7029,0,0.113132,0.151018,3.00161,3.00161,0,1,23.6695,22.2445,19.1947,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,745.082,2.25627,3.99122,0.03531,0.99594,19.3763,0.30869,0.01996,0.0129,0.0042,2.31669,4.2496,0.04651,0,0,19.3763,0,19.3763,0,0.101014,0.154105,3.00161,3.00161,0,1,20.9152,20.0824,17.1313,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,936.581,2.13645,3.76657,0.03281,0.99476,18.0292,0.08559,0.06376,0.01672,0.00625,2.19502,4.37085,0.04308,0,0,18.0292,0,18.0292,0,0.0939961,0.152221,3.00161,3.00161,0,1,19.4874,18.7782,15.8219,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1127.37,2.05048,3.59382,0.03094,0.99513,17.3319,0.14548,0.05263,0.01372,0.00504,2.27154,32.0564,0.04467,0,0,17.3319,0,17.3319,0,0.090355,0.153121,3.00161,3.00161,0,1,18.7791,18.1167,15.0998,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1318.59,1.99347,3.44004,0.02979,0.99615,16.944,0.1924,0.1002,0.05879,0.02525,2.09647,3.4929,0.04015,0,0,16.944,0,16.944,0,0.0883312,0.155825,3.00161,3.00161,0,1,18.3785,17.6976,14.756,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1509.25,1.94513,3.28983,0.02849,0.99328,16.4466,0.1985,0.13508,0.08104,0.03658,2.08017,3.24706,0.03974,0,0,16.4466,0,16.4466,0,0.0857464,0.157235,3.00161,3.00161,0,1,17.8292,17.1859,14.3246,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1700.92,1.91579,3.17614,0.02789,0.99571,15.9722,0.21285,0.1571,0.09389,0.04325,1.99206,3.15033,0.03795,0,0,15.9722,0,15.9722,0,0.0832688,0.157551,3.00161,3.00161,0,1,17.3368,16.6793,13.9004,0.009802,0.009802,0.009802,0.004901,0.019604
10,1892.4,1.87288,3.08596,0.02704,0.99439,15.5303,0.19331,0.17574,0.11178,0.05291,2.00859,3.01034,0.03752,0,0,15.5303,0,15.5303,0,0.0809649,0.157741,3.00161,3.00161,0,1,16.8162,16.2451,13.5295,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,2082.3,1.85967,2.99904,0.02663,0.99567,15.2845,0.23687,0.19269,0.13214,0.06369,1.91531,2.9569,0.0354,0,0,15.2845,0,15.2845,0,0.0796854,0.15839,3.00161,3.00161,0,1,16.5554,15.9753,13.3229,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
12,2271.44,1.83418,2.92992,0.02612,0.99511,15.078,0.25732,0.19736,0.1435,0.07227,1.91857,2.85247,0.03517,0,0,15.078,0,15.078,0,0.0786051,0.159413,3.00161,3.00161,0,1,16.37,15.7659,13.098,0.00972775,0.00972775,0.00972775,0.00486388,0.0194555
13,2461.17,1.81086,2.87922,0.02565,0.99551,14.9262,0.2695,0.21662,0.17396,0.08908,1.89049,2.77502,0.03475,0,0,14.9262,0,14.9262,0,0.0778158,0.160489,3.00161,3.00161,0,1,16.2277,15.5793,12.9716,0.009703,0.009703,0.009703,0.0048515,0.019406
14,2646.71,1.79474,2.82147,0.02544,0.99603,14.7276,0.32924,0.24546,0.19436,0.1016,1.83282,2.66673,0.03348,0,0,14.7276,0,14.7276,0,0.0767807,0.160961,3.00161,3.00161,0,1,16.0105,15.3948,12.7774,0.00967825,0.00967825,0.00967825,0.00483913,0.0193565
15,2831.17,1.77959,2.78321,0.02496,0.99643,14.5802,0.30079,0.25423,0.1989,0.10613,1.80274,2.65575,0.03248,0,0,14.5802,0,14.5802,0,0.0760119,0.161614,3.00161,3.00161,0,1,15.8763,15.2361,12.6281,0.0096535,0.0096535,0.0096535,0.00482675,0.019307
16,3017.52,1.77396,2.73805,0.02482,0.99635,14.4936,0.27244,0.2468,0.19282,0.10147,1.80891,2.65581,0.03266,0,0,14.4936,0,14.4936,0,0.0755599,0.162659,3.00161,3.00161,0,1,15.7649,15.161,12.555,0.00962875,0.00962875,0.00962875,0.00481438,0.0192575
17,3202.36,1.75741,2.70382,0.02455,0.99694,14.4026,0.31631,0.25293,0.20399,0.108,1.83096,2.60413,0.03289,0,0,14.4026,0,14.4026,0,0.0750925,0.163427,3.00161,3.00161,0,1,15.6477,15.0821,12.4781,0.009604,0.009604,0.009604,0.004802,0.019208
18,3388.64,1.7494,2.68099,0.02472,0.99945,14.5313,0.32461,0.25419,0.20608,0.11013,1.82251,2.58461,0.03352,0,0,14.5313,0,14.5313,0,0.0757586,0.166369,3.00161,3.00161,0,1,15.8111,15.1803,12.6024,0.00957925,0.00957925,0.00957925,0.00478963,0.0191585
19,3575.35,1.73601,2.64312,0.02423,0.9985,14.3445,0.3472,0.2929,0.25183,0.13752,1.74101,2.42158,0.03089,0,0,14.3444,0,14.3444,0,0.074793,0.166043,3.00161,3.00161,0,1,15.5806,14.9965,12.4562,0.0095545,0.0095545,0.0095545,0.00477725,0.019109
20,3763.68,1.72288,2.61412,0.02403,0.99821,14.2265,0.37212,0.29425,0.26281,0.14736,1.72791,2.41212,0.03057,0,0,14.2265,0,14.2265,0,0.0741656,0.16637,3.00161,3.00161,0,1,15.459,14.9133,12.3073,0.00952975,0.00952975,0.00952975,0.00476488,0.0190595
21,3947.56,1.7217,2.59677,0.02386,0.99535,14.2698,0.36294,0.29142,0.26546,0.14458,1.75888,2.39672,0.03129,0,0,14.2698,0,14.2698,0,0.0743925,0.168249,3.00161,3.00161,0,1,15.5149,14.908,12.3865,0.009505,0.009505,0.009505,0.0047525,0.01901
22,4132.53,1.70836,2.56092,0.02359,0.99653,14.1374,0.37678,0.32101,0.29166,0.16352,1.71538,2.29784,0.0303,0,0,14.1374,0,14.1374,0,0.0737062,0.16867,3.00161,3.00161,0,1,15.3392,14.7652,12.3078,0.00948025,0.00948025,0.00948025,0.00474013,0.0189605
23,4318.65,1.69336,2.52727,0.02335,0.99647,13.9767,0.41016,0.32882,0.31007,0.17513,1.69163,2.25684,0.02959,0,0,13.9767,0,13.9767,0,0.0728685,0.168575,3.00161,3.00161,0,1,15.2498,14.6463,12.034,0.0094555,0.0094555,0.0094555,0.00472775,0.018911
24,4503.75,1.69134,2.50342,0.02324,0.99668,13.8744,0.41688,0.33306,0.30968,0.17293,1.70904,2.25298,0.02994,0,0,13.8744,0,13.8744,0,0.0723324,0.168502,3.00161,3.00161,0,1,15.1131,14.5231,11.9869,0.00943075,0.00943075,0.00943075,0.00471537,0.0188615
25,4689.95,1.67779,2.4617,0.02323,0.99762,13.8879,0.40835,0.34312,0.32567,0.18451,1.67753,2.20004,0.02933,0,0,13.8879,0,13.8879,0,0.0724019,0.170944,3.00161,3.00161,0,1,15.1089,14.5414,12.0133,0.009406,0.009406,0.009406,0.004703,0.018812
