epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,245.274,3.41648,4.96318,0.06709,1.61862,60.448,0.00032,0.0244,1e-05,0,3.70121,1202.66,0.09637,0,0,60.4479,0,60.4479,0,0.304065,0.326738,3.11066,3.11066,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,479.709,3.28423,4.83589,0.06309,1.02358,37.5576,0.00056,0.03281,0.00012,3e-05,3.13878,5.48957,0.07765,0,0,37.5576,0,37.5576,0,0.188815,0.212691,3.11066,3.11066,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,716.687,2.49458,4.36552,0.04221,0.99873,16.298,0.00302,0.2616,0.00316,0.00087,2.47245,5.28924,0.05151,0,0,16.2979,0,16.2979,0,0.0819631,0.116465,3.11066,3.11066,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,958.18,2.21618,4.01631,0.03486,0.99495,12.481,0.23238,0.07717,0.01462,0.00484,2.26585,4.15271,0.04403,0,0,12.481,0,12.481,0,0.0627784,0.0996053,3.11066,3.11066,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,1194.94,2.09268,3.72918,0.03212,0.99632,11.3223,0.00157,0.10162,0.00029,0.0001,3.1875,9631.2,0.10389,0,0,11.3223,0,11.3223,0,0.0569578,0.0971958,3.11066,3.11066,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1441.58,2.01566,3.53949,0.03041,0.99586,10.7181,0.17196,0.11042,0.05409,0.02295,2.0838,3.57682,0.03991,0,0,10.7181,0,10.7181,0,0.0539214,0.0965421,3.11066,3.11066,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1686.51,1.94157,3.35854,0.02887,0.99238,10.0803,0.20554,0.11378,0.06641,0.03004,2.01869,3.41044,0.03793,0,0,10.0803,0,10.0803,0,0.0507082,0.0954283,3.11066,3.11066,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1926.35,1.90032,3.21773,0.02775,0.99301,9.75451,0.20035,0.1427,0.0893,0.04181,1.96126,3.22915,0.03681,0,0,9.7545,0,9.7545,0,0.0490738,0.0957994,3.11066,3.11066,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,2175.33,1.87303,3.12594,0.02725,0.99323,9.50211,0.21366,0.15955,0.107,0.05254,1.92495,3.11976,0.03568,0,0,9.50211,0,9.50211,0,0.047806,0.0956736,3.11066,3.11066,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,2425.22,1.83794,3.05364,0.02653,0.9949,9.38875,0.25844,0.17982,0.12192,0.05891,1.90756,2.94454,0.03503,0,0,9.38874,0,9.38874,0,0.0472317,0.0967069,3.11066,3.11066,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,2672.33,1.83079,2.98469,0.0262,0.9952,9.25385,0.22403,0.20055,0.14365,0.07183,1.86813,2.92979,0.03435,0,0,9.25385,0,9.25385,0,0.0465536,0.0967943,3.11066,3.11066,0,1,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
12,2908.82,1.81058,2.91371,0.0257,0.99525,9.16187,0.24916,0.20032,0.14543,0.07333,1.85831,2.84567,0.0341,0,0,9.16187,0,9.16187,0,0.0460917,0.0978628,3.11066,3.11066,0,1,0.00972775,0.00972775,0.00972775,0.00486388,0.0194555
13,3147.02,1.78309,2.86984,0.02532,0.99609,9.07251,0.25215,0.23101,0.16886,0.08792,1.85623,2.80595,0.03376,0,0,9.0725,0,9.0725,0,0.045641,0.0984926,3.11066,3.11066,0,1,0.009703,0.009703,0.009703,0.0048515,0.019406
14,3385.64,1.77286,2.81735,0.02513,0.99553,9.00072,0.32794,0.23778,0.19438,0.09936,1.82246,2.64746,0.033,0,0,9.00071,0,9.00071,0,0.045278,0.0991621,3.11066,3.11066,0,1,0.00967825,0.00967825,0.00967825,0.00483913,0.0193565
15,3622.99,1.75548,2.78138,0.0247,0.99619,8.95234,0.28006,0.24986,0.19682,0.1,1.83584,2.70522,0.03336,0,0,8.95233,0,8.95233,0,0.0450356,0.0998724,3.11066,3.11066,0,1,0.0096535,0.0096535,0.0096535,0.00482675,0.019307
16,3858.47,1.74457,2.75207,0.02439,0.99632,8.82612,0.31184,0.25729,0.21255,0.11377,1.77912,2.59336,0.03201,0,0,8.82611,0,8.82611,0,0.0444004,0.0996693,3.11066,3.11066,0,1,0.00962875,0.00962875,0.00962875,0.00481438,0.0192575
17,4092.69,1.73303,2.71023,0.02427,0.99649,8.74863,0.3114,0.26561,0.22485,0.11934,1.7759,2.53589,0.03178,0,0,8.74863,0,8.74863,0,0.0440108,0.0999043,3.11066,3.11066,0,1,0.009604,0.009604,0.009604,0.004802,0.019208
18,4340.38,1.71638,2.67455,0.02418,0.99698,8.70855,0.33073,0.27424,0.23271,0.12517,1.76723,2.48224,0.03166,0,0,8.70855,0,8.70855,0,0.0438077,0.100835,3.11066,3.11066,0,1,0.00957925,0.00957925,0.00957925,0.00478963,0.0191585
19,4584.31,1.70532,2.63096,0.02372,0.99664,8.62017,0.34412,0.29176,0.25704,0.14036,1.74063,2.41054,0.03111,0,0,8.62016,0,8.62016,0,0.0433663,0.100933,3.11066,3.11066,0,1,0.0095545,0.0095545,0.0095545,0.00477725,0.019109
20,4820.85,1.69254,2.5927,0.02357,0.99696,8.57346,0.36306,0.30177,0.26978,0.14938,1.71499,2.39452,0.03041,0,0,8.57345,0,8.57345,0,0.0431311,0.101683,3.11066,3.11066,0,1,0.00952975,0.00952975,0.00952975,0.00476488,0.0190595
21,5068.44,1.69525,2.58126,0.02349,0.9969,8.5204,0.38393,0.30818,0.27463,0.15249,1.71821,2.32661,0.03034,0,0,8.5204,0,8.5204,0,0.0428611,0.101519,3.11066,3.11066,0,1,0.009505,0.009505,0.009505,0.0047525,0.01901
22,5320.83,1.68889,2.5516,0.02331,0.99707,8.46312,0.3588,0.31909,0.28532,0.16119,1.69965,2.30297,0.02997,0,0,8.46312,0,8.46312,0,0.0425775,0.101829,3.11066,3.11066,0,1,0.00948025,0.00948025,0.00948025,0.00474013,0.0189605
23,5561.51,1.67768,2.51892,0.02317,0.99743,8.38436,0.38792,0.32759,0.29615,0.16347,1.69136,2.2968,0.02991,0,0,8.38435,0,8.38435,0,0.042178,0.101816,3.11066,3.11066,0,1,0.0094555,0.0094555,0.0094555,0.00472775,0.018911
24,5806.4,1.66805,2.4962,0.02298,0.99774,8.34761,0.37591,0.33511,0.30823,0.17644,1.66183,2.23106,0.02938,0,0,8.34761,0,8.34761,0,0.0419937,0.102192,3.11066,3.11066,0,1,0.00943075,0.00943075,0.00943075,0.00471537,0.0188615
25,6057.13,1.65773,2.46039,0.02297,0.99731,8.29942,0.40041,0.3331,0.31618,0.18197,1.64852,2.19138,0.02878,0,0,8.29941,0,8.29941,0,0.0417518,0.102689,3.11066,3.11066,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
26,6300.06,1.651,2.46237,0.02262,0.99771,8.24929,0.42485,0.34851,0.33017,0.1926,1.63487,2.14786,0.02847,0,0,8.24928,0,8.24928,0,0.0414984,0.10223,3.11066,3.11066,0,1,0.00938125,0.00938125,0.00938125,0.00469063,0.0187625
27,6548.9,1.6481,2.42611,0.02257,0.99799,8.23813,0.43325,0.35283,0.33683,0.19601,1.62978,2.13615,0.02841,0,0,8.23812,0,8.23812,0,0.0414424,0.103192,3.11066,3.11066,0,1,0.0093565,0.0093565,0.0093565,0.00467825,0.018713
28,6791.78,1.64494,2.41563,0.02252,0.99779,8.18668,0.42601,0.35455,0.34007,0.19958,1.6224,2.14821,0.02812,0,0,8.18669,0,8.18669,0,0.0411841,0.102924,3.11066,3.11066,0,1,0.00933175,0.00933175,0.00933175,0.00466587,0.0186635
29,7040.46,1.64173,2.40544,0.0224,0.99802,8.13336,0.43438,0.3591,0.34651,0.20134,1.64071,2.12403,0.02856,0,0,8.13336,0,8.13336,0,0.0409156,0.102671,3.11066,3.11066,0,1,0.009307,0.009307,0.009307,0.0046535,0.018614
30,7285.64,1.62731,2.3996,0.02227,0.99792,8.10076,0.43531,0.36266,0.34754,0.20707,1.60235,2.10138,0.02761,0,0,8.10076,0,8.10076,0,0.0407515,0.102862,3.11066,3.11066,0,1,0.00928225,0.00928225,0.00928225,0.00464113,0.0185645
31,7539.27,1.63873,2.37461,0.02219,0.99854,8.10818,0.45646,0.3699,0.36964,0.22091,1.59155,2.04405,0.0273,0,0,8.10818,0,8.10818,0,0.0407913,0.103301,3.11066,3.11066,0,1,0.0092575,0.0092575,0.0092575,0.00462875,0.018515
32,7783.92,1.62265,2.359,0.02213,0.99835,8.07409,0.45722,0.3789,0.3755,0.22456,1.58795,2.03475,0.02723,0,0,8.07408,0,8.07408,0,0.0406178,0.103794,3.11066,3.11066,0,1,0.00923275,0.00923275,0.00923275,0.00461637,0.0184655
33,8028.34,1.61269,2.33376,0.02206,0.99817,8.02478,0.45233,0.39019,0.38655,0.23156,1.57523,2.00883,0.02696,0,0,8.02478,0,8.02478,0,0.0403718,0.10403,3.11066,3.11066,0,1,0.009208,0.009208,0.009208,0.004604,0.018416
34,8275.22,1.61571,2.32652,0.02196,0.99839,8.01121,0.47582,0.392,0.39111,0.23254,1.59426,2.00079,0.02751,0,0,8.0112,0,8.0112,0,0.0403022,0.104064,3.11066,3.11066,0,1,0.00918325,0.00918325,0.00918325,0.00459163,0.0183665
35,8519.78,1.61236,2.30804,0.0219,0.99843,7.95514,0.48108,0.39022,0.39518,0.2373,1.5748,1.98235,0.02709,0,0,7.95514,0,7.95514,0,0.0400206,0.103842,3.11066,3.11066,0,1,0.0091585,0.0091585,0.0091585,0.00457925,0.018317
36,8766.96,1.59238,2.29811,0.02165,0.99853,7.95524,0.48858,0.39828,0.40494,0.24497,1.55211,1.95735,0.0265,0,0,7.95524,0,7.95524,0,0.0400202,0.104631,3.11066,3.11066,0,1,0.00913375,0.00913375,0.00913375,0.00456687,0.0182675
37,9006.94,1.60491,2.28031,0.02174,0.99872,7.92213,0.47717,0.40188,0.40437,0.24408,1.56183,1.94508,0.02679,0,0,7.92213,0,7.92213,0,0.0398516,0.104552,3.11066,3.11066,0,1,0.009109,0.009109,0.009109,0.0045545,0.018218
38,9256.96,1.59173,2.27383,0.02163,0.99866,7.88074,0.49245,0.40269,0.40909,0.24811,1.55542,1.93948,0.02664,0,0,7.88073,0,7.88073,0,0.0396478,0.10463,3.11066,3.11066,0,1,0.00908425,0.00908425,0.00908425,0.00454213,0.0181685
