epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,108.096,3.41957,4.98581,0.06724,1.62037,0.00076,0.00236,1e-05,0,3.2847,8.67656,0.07789,0,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,259.143,3.18662,4.77719,0.06031,1.01975,0.00105,0.07903,0.00024,5e-05,3.02664,6.87502,0.07159,0,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,446.295,2.30841,4.18998,0.03693,0.99524,0.12084,0.03752,0.00994,0.00315,2.32159,4.65337,0.04775,0,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,645.606,2.05914,3.72251,0.03086,0.99408,0.20205,0.08014,0.03673,0.01522,2.04631,3.78237,0.03893,0,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,846.022,1.92829,3.40059,0.02815,0.99407,0.24441,0.12791,0.07449,0.03441,1.96058,3.35487,0.03662,0,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1031.44,1.87168,3.20834,0.02703,0.99438,0.19613,0.15089,0.0851,0.03868,2.01537,3.28841,0.03784,0,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1232.26,1.82408,3.07105,0.02626,0.99559,0.24481,0.17314,0.11514,0.05679,1.86217,3.02982,0.03424,0,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1432.01,1.79717,2.94988,0.02551,0.99531,0.29604,0.20242,0.14718,0.07601,1.84326,2.83306,0.03362,0,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1618.66,1.77734,2.86335,0.02522,0.99551,0.27166,0.23013,0.16436,0.08757,1.82045,2.7768,0.03329,0,0.009802,0.009802,0.009802,0.004901,0.019604
10,1817.17,1.74858,2.79962,0.02459,0.99607,0.31094,0.24224,0.18867,0.10017,1.78211,2.61966,0.03214,0,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
