epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.30855,3.6067,5.89353,0.06627,2.98634,0.68816,0,0,0,0,3.60027,5.82382,0.067,0,0,0.688157,0,0.688157,0,0.344079,0.0438775,0.5,0.5,0,1,0.0031,0.0031,0.0721,0.00155,0.0062
2,12.6967,3.58905,5.8407,0.06646,2.25721,0.67737,0,0,0,0,3.60207,5.82413,0.06722,0,0,0.677367,0,0.677367,0,0.338683,0.0453647,0.5,0.5,0,1,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,19.1883,3.68733,5.9696,0.06414,1.674,0.69388,0,0,0,0,3.60431,5.82367,0.06757,0,0,0.693882,0,0.693882,0,0.346941,0.0477093,0.5,0.5,0,1,0.007619,0.007619,0.012619,0.0038095,0.015238
4,25.8971,3.71309,5.97194,0.06728,1.41033,0.71049,0,0,0,0,3.60476,5.82208,0.06737,0,0,0.710491,0,0.710491,0,0.355246,0.0495143,0.5,0.5,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
5,32.5145,3.67345,5.90935,0.06686,1.26893,0.72048,9e-05,0.00235,2e-05,1e-05,3.59286,6.55641,0.06715,0,0,0.720476,0,0.720476,0,0.360238,0.0512734,0.5,0.5,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
6,39.2788,3.57673,5.95084,0.06235,1.18431,0.72439,0.0001,0.00481,0,0,4.09599,5838.76,0.13548,0,0,0.724385,0,0.724385,0,0.362193,0.0522404,0.5,0.5,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
7,46.0382,3.64516,5.91205,0.06799,1.12066,0.67965,0.04236,0.0095,1e-05,0,4.08561,9686.44,0.13322,0,0,0.679654,0,0.679654,0,0.339827,0.0487616,0.5,0.5,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
8,52.8327,3.68242,5.93743,0.069,1.08402,0.7202,0.00013,0.00905,1e-05,0,3.88989,1895.7,0.10898,0,0,0.720199,0,0.720199,0,0.360099,0.0517205,0.5,0.5,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
9,59.6561,3.61132,5.92729,0.06587,1.06174,0.68903,7e-05,0.00827,0,0,3.78535,709.902,0.0901,0,0,0.68903,0,0.68903,0,0.344515,0.049995,0.5,0.5,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
10,66.4574,3.60924,5.99048,0.06395,1.04348,0.67982,0.00012,0.00246,0,0,3.75964,281.074,0.08237,0,0,0.67982,0,0.67982,0,0.33991,0.0489408,0.5,0.5,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
