epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.21076,3.63012,5.90264,0.06735,2.9879,0,0,0,0,3.60025,5.82384,0.067,0,0.0031,0.0031,0.0721,0.00155,0.0062
2,11.9971,3.60422,5.85672,0.0669,2.25577,0,0,0,0,3.60197,5.82382,0.0672,0,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,17.6978,3.67789,5.9832,0.06419,1.66531,0,0,0,0,3.60754,5.8256,0.0673,0,0.007619,0.007619,0.012619,0.0038095,0.015238
4,23.6348,3.7434,5.9757,0.06663,1.41083,0,0,0,0,3.6003,5.8262,0.06693,0,0.00703,0.00703,0.00703,0.003515,0.01406
5,30.1182,3.60554,5.8998,0.06621,1.26932,0,0,0,0,3.62265,5.83212,0.06644,0,0.00604,0.00604,0.00604,0.00302,0.01208
6,36.1466,3.68829,5.94848,0.06554,1.18585,0.00046,0.00262,8e-05,2e-05,3.68125,12.6324,0.07204,0,0.00505,0.00505,0.00505,0.002525,0.0101
7,42.1004,3.62873,5.92736,0.06597,1.12227,0.142,0.00282,0.00025,5e-05,3.80612,531.129,0.08213,0,0.00406,0.00406,0.00406,0.00203,0.00812
8,48.1608,3.74696,5.93512,0.06991,1.0861,0.00031,0.01751,3e-05,1e-05,3.95804,1330.12,0.1123,0,0.00307,0.00307,0.00307,0.001535,0.00614
9,54.0566,3.62561,5.97917,0.06525,1.06332,0.00013,0.00246,0,0,3.82492,236.02,0.08391,0,0.00208,0.00208,0.00208,0.00104,0.00416
10,59.863,3.55848,5.98174,0.06245,1.04622,0.00029,0.00809,5e-05,1e-05,3.92313,338.6,0.08694,0,0.00109,0.00109,0.00109,0.000545,0.00218
